Street_One,Street_Two,full_address,lng,lat
MISSION ST,ITALY AVE,"MISSION ST & ITALY AVE SAN FRANCISCO, CA",-122.4392105,37.7186961
MISSION ST,NEW MONTGOMERY ST,"MISSION ST & NEW MONTGOMERY ST SAN FRANCISCO, CA",-122.4015241,37.7882801
MISSION ST,1ST ST,"MISSION ST & 1ST ST SAN FRANCISCO, CA",-122.3975054,37.7899445
MISSION ST,20TH ST,"MISSION ST & 20TH ST SAN FRANCISCO, CA",-122.4191609,37.7584072
MISSION ST,FREMONT ST,"MISSION ST & FREMONT ST SAN FRANCISCO, CA",-122.3967619,37.790306
MISSION ST,13TH ST,"MISSION ST & 13TH ST SAN FRANCISCO, CA",-122.419778,37.7704024
MISSION ST,ERIE ST,"MISSION ST & ERIE ST SAN FRANCISCO, CA",-82.4272348,42.9767346
MISSION ST,BEALE ST,"MISSION ST & BEALE ST SAN FRANCISCO, CA",-122.396163,37.7910068
MISSION ST,FAIR AVE,"MISSION ST & FAIR AVE SAN FRANCISCO, CA",-90.504853,41.542346
MISSION ST,SAINT MARYS AVE,"MISSION ST & SAINT MARYS AVE SAN FRANCISCO, CA",-73.688675,42.724157
MISSION ST,SENECA AVE,"MISSION ST & SENECA AVE SAN FRANCISCO, CA",-73.9076756,40.7028171
MISSION ST,ANTHONY ST,"MISSION ST & ANTHONY ST SAN FRANCISCO, CA",-74.0004217,40.7143509
MISSION ST,JESSIE EAST ST,"MISSION ST & JESSIE EAST ST SAN FRANCISCO, CA",-97.1614861,49.8673751
MISSION ST,SILVER AVE,"MISSION ST & SILVER AVE SAN FRANCISCO, CA",-122.431343,37.7285701
MISSION ST,MOUNT VERNON AVE,"MISSION ST & MOUNT VERNON AVE SAN FRANCISCO, CA",-122.442655,37.7147454
MISSION ST,30TH ST,"MISSION ST & 30TH ST SAN FRANCISCO, CA",-122.421978,37.7425444
MISSION ST,MAIN ST,"MISSION ST & MAIN ST SAN FRANCISCO, CA",-122.394877,37.7920357
MISSION ST,TRUMBULL ST,"MISSION ST & TRUMBULL ST SAN FRANCISCO, CA",-122.429622,37.7306114
MISSION ST,15TH ST,"MISSION ST & 15TH ST SAN FRANCISCO, CA",-122.4194651,37.7627117
MISSION ST,KINGSTON ST,"MISSION ST & KINGSTON ST SAN FRANCISCO, CA",-73.978572,41.938169
MISSION ST,TINGLEY ST,"MISSION ST & TINGLEY ST SAN FRANCISCO, CA",-122.4339193,37.7292782
MISSION ST,THERESA ST,"MISSION ST & THERESA ST SAN FRANCISCO, CA",-2.2510042,51.8544149
MISSION ST,PARK ST,"MISSION ST & PARK ST SAN FRANCISCO, CA",-122.4302331,37.7298297
MISSION ST,OLIVER ST,"MISSION ST & OLIVER ST SAN FRANCISCO, CA",-122.4500978,37.7095923
MISSION ST,STEUART ST,"MISSION ST & STEUART ST SAN FRANCISCO, CA",-122.393419,37.7932952
MISSION ST,HURON AVE,"MISSION ST & HURON AVE SAN FRANCISCO, CA",-120.103473,36.2023057
MISSION ST,SYCAMORE ST,"MISSION ST & SYCAMORE ST SAN FRANCISCO, CA",114.1644774,22.3235324
MISSION ST,2ND ST,"MISSION ST & 2ND ST SAN FRANCISCO, CA",-122.3998524,37.7878381
MISSION ST,MINT ST,"MISSION ST & MINT ST SAN FRANCISCO, CA",-122.4073669,37.7822729
MISSION ST,GENEVA AVE,"MISSION ST & GENEVA AVE SAN FRANCISCO, CA",-122.441385,37.7161976
MISSION ST,CORTLAND AVE,"MISSION ST & CORTLAND AVE SAN FRANCISCO, CA",-122.422831,37.7412352
MISSION ST,22ND ST,"MISSION ST & 22ND ST SAN FRANCISCO, CA",-122.4187049,37.7557748
MISSION ST,6TH ST,"MISSION ST & 6TH ST SAN FRANCISCO, CA",-122.408364,37.7811378
MISSION ST,PRECITA AVE,"MISSION ST & PRECITA AVE SAN FRANCISCO, CA",-122.4116325,37.7468856
MISSION ST,17TH ST,"MISSION ST & 17TH ST SAN FRANCISCO, CA",-122.4193276,37.7636074
MISSION ST,CASTLE MANOR AVE,"MISSION ST & CASTLE MANOR AVE SAN FRANCISCO, CA",-122.4312075,37.7294685
MISSION ST,ALLISON ST,"MISSION ST & ALLISON ST SAN FRANCISCO, CA",-122.44265,37.7144543
MISSION ST,26TH ST,"MISSION ST & 26TH ST SAN FRANCISCO, CA",-122.418079,37.7494003
MISSION ST,VIRGINIA AVE,"MISSION ST & VIRGINIA AVE SAN FRANCISCO, CA",-76.3218945,36.9380318
MISSION ST,COTTER ST,"MISSION ST & COTTER ST SAN FRANCISCO, CA",-91.4626966,41.2921571
MISSION ST,WHIPPLE AVE,"MISSION ST & WHIPPLE AVE SAN FRANCISCO, CA",-71.648552,41.958584
MISSION ST,8TH ST,"MISSION ST & 8TH ST SAN FRANCISCO, CA",-122.413498,37.7773219
MISSION ST,PLUM ST,"MISSION ST & PLUM ST SAN FRANCISCO, CA",-90.1265003,29.9460031
MISSION ST,THE EMBARCADERO,"MISSION ST & THE EMBARCADERO SAN FRANCISCO, CA",-122.392925,37.7944319
MISSION ST,19TH ST,"MISSION ST & 19TH ST SAN FRANCISCO, CA",-122.4194651,37.7627117
MISSION ST,APPLETON AVE,"MISSION ST & APPLETON AVE SAN FRANCISCO, CA",-122.424068,37.7390433
MISSION ST,OCEAN AVE,"MISSION ST & OCEAN AVE SAN FRANCISCO, CA",-73.9496565,40.5901249
MISSION ST,GODEUS ST,"MISSION ST & GODEUS ST SAN FRANCISCO, CA",-122.4205833,37.742375
MISSION ST,POPE ST,"MISSION ST & POPE ST SAN FRANCISCO, CA",-95.522542,45.615533
MISSION ST,FARRAGUT AVE,"MISSION ST & FARRAGUT AVE SAN FRANCISCO, CA",-71.4033636,41.7872893
MISSION ST,11TH ST,"MISSION ST & 11TH ST SAN FRANCISCO, CA",-122.417559,37.7741188
MISSION ST,EUGENIA AVE,"MISSION ST & EUGENIA AVE SAN FRANCISCO, CA",-84.930121,32.514218
MISSION ST,4TH ST,"MISSION ST & 4TH ST SAN FRANCISCO, CA",-122.4039142,37.7846454
MISSION ST,FRANCE AVE,"MISSION ST & FRANCE AVE SAN FRANCISCO, CA",-81.7498279,30.3167744
MISSION ST,LASKIE ST,"MISSION ST & LASKIE ST SAN FRANCISCO, CA",-122.4144972,37.7770041
MISSION ST,29TH ST,"MISSION ST & 29TH ST SAN FRANCISCO, CA",-121.471061,38.5644856
MISSION ST,RUSSIA AVE,"MISSION ST & RUSSIA AVE SAN FRANCISCO, CA",-122.4371688,37.7214246
MISSION ST,ONONDAGA AVE,"MISSION ST & ONONDAGA AVE SAN FRANCISCO, CA",-122.4374593,37.7213832
MISSION ST,ANNIE ST,"MISSION ST & ANNIE ST SAN FRANCISCO, CA",-71.3524206,41.8763334
MISSION ST,21ST ST,"MISSION ST & 21ST ST SAN FRANCISCO, CA",-122.4194651,37.7627117
MISSION ST,CLARION ALY,"MISSION ST & CLARION ALY SAN FRANCISCO, CA",-122.4217049,37.7629281
